Age,Gender,Grade,Duration of studying English,Confident in Vocabulary,Encounter Unfamiliar Words,High Writing Proficiency,Frequent English Writing,Essays Are Challenging,Effectiveness of Teaching Methods,Introduction of New Vocabulary,Vocabulary for Language Skills,Importance of Vocabulary,Challenge of Essay Writing,More Vocabulary Quizzes Needed,Use Context Clues,Use Model Essays,Learning in Thematic Groups,Challenge of Context and Usage,Quality of Resources,Rich Vocabulary Enhances Writing,Accessibility of Resources,Impact of Limited Vocabulary,Prioritize Real-Life Application,Prefer Mnemonic Devices
25-29,Male,4,2,1,1,3,1,1,1,4,1,4,2,4,2,1,2,4,2,1,2,4,4,1
20-24,Female ,4,1,3,2,5,3,5,3,3,4,5,3,3,3,3,3,3,3,3,3,3,3,3
15-19,Female ,3,3,1,1,1,2,2,2,1,5,4,1,1,5,4,5,1,5,4,5,1,1,1
20-24,Female ,1,1,1,5,4,3,3,3,1,4,4,2,3,3,1,3,3,3,4,3,1,3,1
15-19,Male,4,2,1,1,2,2,2,2,1,3,1,3,2,3,3,3,2,5,5,3,1,2,1
25-29,Male,2,3,2,4,3,1,1,1,4,1,3,4,3,4,1,4,3,2,1,4,4,3,4
15-19,Female ,3,1,2,2,4,5,4,4,1,3,4,4,1,3,2,3,2,3,4,3,1,2,1
20-24,Male,1,3,3,3,4,4,1,4,3,3,5,5,1,2,2,2,1,2,4,2,3,1,3
25-29,Female ,1,2,2,4,3,3,2,3,1,2,4,5,4,3,2,3,4,3,2,3,1,4,1
15-19,Female ,1,3,4,4,1,5,1,3,5,2,3,3,3,4,2,4,4,4,2,4,5,4,5
20-24,Male,3,2,4,4,3,3,2,3,3,4,5,4,5,5,3,5,5,5,3,5,3,5,3
25-29,Female ,3,3,5,3,2,3,5,3,3,3,3,4,4,1,1,1,4,1,1,1,3,4,1
20-24,Male,4,1,1,3,3,4,3,4,3,4,2,5,4,1,4,1,4,1,4,1,3,4,3
25-29,Female ,1,2,8,3,2,3,2,3,4,4,4,3,1,4,5,4,1,4,5,4,4,1,4
15-19,Female ,2,1,1,4,1,2,4,2,3,4,4,1,3,3,3,3,3,3,3,3,3,3,3
25-29,Male,4,3,3,4,4,3,2,3,1,5,2,1,2,3,3,3,2,3,3,3,1,2,1
15-19,Female ,2,3,4,1,4,4,3,4,5,4,4,1,1,2,4,5,1,5,4,5,5,1,5
15-19,Female ,3,2,1,5,5,5,3,5,5,3,4,2,1,2,5,3,2,1,2,5,3,4,3
15-19,Male,2,1,2,2,4,1,1,1,2,4,3,3,3,3,2,4,3,3,3,2,4,3,4
15-19,Female ,1,2,4,5,4,1,4,1,4,4,1,5,4,5,4,3,5,4,5,4,4,1,5
20-24,Female ,1,1,1,3,1,4,5,4,3,4,3,3,4,3,3,4,3,4,3,3,4,3,4
20-24,Male,2,1,5,4,3,3,3,3,5,3,2,3,5,3,5,3,2,5,3,5,3,2,3
25-29,Female ,3,3,4,1,2,3,3,3,1,3,3,4,1,4,1,3,4,1,4,1,3,3,3
25-29,Female ,3,2,3,3,1,5,4,5,4,3,2,3,4,3,4,3,3,4,3,4,3,2,3
25-29,Male,1,2,2,4,1,2,4,3,2,4,1,2,4,2,2,4,2,4,2,2,4,1,4
15-19,Female ,4,2,3,4,4,3,2,2,3,4,4,3,2,3,3,4,3,2,3,3,4,4,4
15-19,Female ,2,3,4,1,4,4,2,3,5,1,4,4,2,4,5,1,4,2,4,5,1,4,1
15-19,Female ,3,2,2,5,5,5,3,3,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5
15-19,Male,4,1,2,2,4,1,1,3,2,2,4,1,1,1,2,2,1,1,1,2,2,4,2
15-19,Female ,4,1,1,5,4,1,4,2,3,5,4,1,4,1,3,5,1,4,1,3,5,4,5
15-19,Male,4,2,1,3,1,4,5,1,1,3,1,4,5,4,1,3,4,5,4,1,3,1,3
15-19,Male,3,1,4,4,3,3,3,4,4,4,3,3,3,3,4,4,3,3,3,2,4,3,5
20-24,Male,3,1,4,1,2,3,3,4,4,1,2,3,3,3,4,1,2,3,1,4,1,2,1
15-19,Female ,4,1,3,3,1,5,4,3,3,3,1,5,4,5,3,3,5,4,5,3,3,1,3
15-19,Male,2,2,2,3,4,5,2,4,1,2,4,3,4,2,1,2,1,2,4,4,2,5,2
15-19,Female ,4,3,2,2,2,2,3,4,4,3,2,5,3,3,3,3,3,3,3,3,3,2,5
15-19,Female ,4,3,4,4,3,4,5,1,4,4,2,1,1,5,4,5,4,5,1,1,5,3,4
15-19,Male,4,2,3,4,5,3,5,5,5,5,3,3,3,3,4,3,4,3,1,3,3,2,1
20-24,Male,3,3,4,2,3,5,2,2,4,1,1,2,2,3,5,3,5,3,1,2,3,3,1
20-24,Female ,2,2,1,1,3,1,3,5,4,1,4,2,3,4,1,4,1,4,4,3,5,3,2
15-19,Female ,1,3,4,1,4,4,1,3,1,4,5,4,2,3,4,3,4,3,1,2,3,4,4
15-19,Male,1,2,2,2,3,2,4,4,3,3,3,5,1,2,4,2,4,5,3,1,2,2,5
15-19,Male,2,2,3,4,2,3,4,1,2,3,3,4,4,3,2,3,2,3,1,4,3,2,1
25-29,Female ,2,3,5,3,3,5,3,3,1,5,4,1,4,4,2,4,2,4,5,1,4,3,5
25-29,Male,1,2,5,2,4,5,5,3,4,2,1,1,5,5,3,5,3,5,3,5,5,4,2
20-24,Male,1,2,2,5,5,2,2,4,3,3,3,3,4,1,1,2,1,1,3,4,1,5,1
15-19,Male,4,2,3,2,1,3,4,4,1,5,4,2,4,1,4,1,4,1,3,1,1,1,2
15-19,Male,2,1,1,1,1,1,3,4,3,3,4,5,1,4,5,3,5,4,2,1,4,1,4
20-24,Male,3,1,4,2,4,4,5,3,4,3,1,3,3,3,3,2,3,3,3,3,3,4,2
20-24,Male,2,2,4,3,3,4,1,1,5,4,2,5,2,3,2,3,3,3,1,2,3,3,3
